itemCode,descriptionEng,descriptionChi,unit,packageUnit,unitPrice,cost
148248,BOX 40 COFFEE FILTERS MELITTA 1X4,Melitta 美樂家 咖啡濾紙 1x4 - 40片裝,EA,1,21.1,
148523,ARTLINE 700N PERMANENT MARKER B/TIP BLUE,Artline 雅麗 700N 油性箱頭筆 藍色,EA,1,10.6,
148534,ARTLINE 700N PERMANENT MARKER B/TIP RED,Artline 雅麗 700N 油性箱頭筆 紅色,EA,1,10.6,
149218,STABILO BOSS H/LIGHTER YLLW,STABILO BOSS 螢光筆 黃色,EA,1,7.7,
149229,STABILO BOSS H/LIGHTER PINK,STABILO BOSS 螢光筆 粉紅色,EA,1,7.7,
149231,STABILO BOSS H/LIGHTER GR,STABILO BOSS 螢光筆 綠色,EA,1,7.7,
149242,STABILO BOSS H/LIGHTER LILAC PINK,STABILO BOSS 螢光筆 淡紫色,EA,1,7.7,
149322,STABILO BOSS 70/55 H/LIGHTER LAVENDER,STABILO BOSS 螢光筆 紫色,EA,1,7.7,
149333,PK4 STABILO BOSS H/LIGHTER ASSTD COL,STABILO BOSS 螢光筆 - 4色套裝,EA,1,40.7,
149355,STABILO BOSS H/LIGHTER BLU,STABILO BOSS 螢光筆 藍色,EA,1,7.7,
149366,STABILO BOSS H/LIGHTER RED,STABILO BOSS 螢光筆 紅色,EA,1,7.7,
149377,STABILO BOSS H/LIGHTER ORANGE,STABILO BOSS 螢光筆 橙色,EA,1,7.7,
149435,BX8 STABILO BOSS H/LIGHTER ASSTD COL,STABILO BOSS 螢光筆 - 8色套裝,EA,1,81.3,
149583,PENTEL S520-C SIGN PEN BLUE,Pentel S520 簽名筆 2.0毫米 藍色,EA,1,6.8,
149628,PENTEL S520-A SIGN PEN BLACK,Pentel S520 簽名筆 2.0毫米 黑色,EA,1,6.8,
149639,PENTEL S520 SIGN PEN 2.0MM RED,Pentel S520 簽名筆 2.0毫米 紅色,EA,1,6.8,
149969,PK4 LYRECO W/BOARD MARKER B/TIP ASST COL,Lyreco 白板筆 圓咀 - 4色套裝,EA,1,18.5,
150064,STABILO POINT 88 FINELINER 0.4MM BLACK,STABILO Point 88 簽字筆 0.4毫米 黑色,EA,1,7.1,
150075,STABILO POINT 88 FINELINER 0.4MM BLUE,STABILO Point 88 簽字筆 0.4毫米 藍色,EA,1,7.1,
150086,STABILO POINT 88 FINELINER 0.4MM RED,STABILO Point 88 簽字筆 0.4毫米 紅色,EA,1,7.1,
150598,LYRECO WHITEBOARD MARKER B/TIP GREEN,Lyreco 白板筆 圓咀 綠色,EA,1,5,
150601,LYRECO BUDGET HIGHLIGHTER YELLOW,Lyreco Budget 螢光筆 黃色,EA,1,5,
150827,LYRECO BUDGET HIGHLIGHTER GREEN,Lyreco Budget 螢光筆 綠色,EA,1,5,
150942,LYRECO BUDGET HIGHLIGHTER ORANGE,Lyreco Budget 螢光筆 橙色,EA,1,5,
150964,LYRECO WHITEBOARD MARKER B/TIP BLACK,Lyreco 白板筆 圓咀 黑色,EA,1,5,
151012,LYRECO WHITEBOARD MARKER B/TIP BLUE,Lyreco 白板筆 圓咀 藍色,EA,1,5,
151034,LYRECO WHITEBOARD MARKER B/TIP RED,Lyreco 白板筆 圓咀 紅色,EA,1,5,
